station_id,station_name,start_time,end_time,peak_aqi,duration_hours,first_actual_crossing,horizon,lead_time_hours,detection
8,Punjabi Bagh,2025-11-08 12:00:00+05:30,2025-11-09 14:00:00+05:30,434.0,27.0,2025-11-08 12:00:00+05:30,6h,2.0,hit
8,Punjabi Bagh,2025-11-10 09:00:00+05:30,2025-11-14 09:00:00+05:30,461.0,97.0,2025-11-10 09:00:00+05:30,6h,0.0,hit
8,Punjabi Bagh,2025-11-15 00:00:00+05:30,2025-11-15 15:00:00+05:30,408.0,16.0,2025-11-15 00:00:00+05:30,6h,1.0,hit
8,Punjabi Bagh,2025-11-15 20:00:00+05:30,2025-11-16 15:00:00+05:30,412.0,20.0,2025-11-15 20:00:00+05:30,6h,18.0,hit
8,Punjabi Bagh,2025-11-18 10:00:00+05:30,2025-11-20 18:00:00+05:30,444.0,57.0,2025-11-18 10:00:00+05:30,6h,4.0,hit
8,Punjabi Bagh,2025-11-22 16:00:00+05:30,2025-11-24 13:00:00+05:30,431.0,46.0,2025-11-22 16:00:00+05:30,6h,0.0,miss
8,Punjabi Bagh,2025-11-27 06:00:00+05:30,2025-11-28 10:00:00+05:30,424.0,29.0,2025-11-27 06:00:00+05:30,6h,3.0,hit
8,Punjabi Bagh,2025-12-02 12:00:00+05:30,2025-12-02 19:00:00+05:30,412.0,8.0,2025-12-02 12:00:00+05:30,6h,3.0,hit
8,Punjabi Bagh,2025-12-12 14:00:00+05:30,2025-12-16 05:00:00+05:30,481.0,88.0,2025-12-12 14:00:00+05:30,6h,2.0,hit
8,Punjabi Bagh,2025-12-18 10:00:00+05:30,2025-12-19 12:00:00+05:30,439.0,27.0,2025-12-18 10:00:00+05:30,6h,7.0,hit
8,Punjabi Bagh,2025-12-19 20:00:00+05:30,2025-12-21 05:00:00+05:30,448.0,34.0,2025-12-19 20:00:00+05:30,6h,18.0,hit
8,Punjabi Bagh,2025-12-22 14:00:00+05:30,2025-12-23 19:00:00+05:30,448.0,30.0,2025-12-22 14:00:00+05:30,6h,2.0,hit
