threshold,tp,fp,fn,tn,precision,recall,f1,fpr,fnr,fp_actual_vpoor,fp_actual_poor,fp_actual_mod_better,fn_pred_vpoor,fn_pred_poor,fn_pred_mod_better,cost_rate_1x,cost_sample_1x,cost_rate_2x,cost_sample_2x,cost_rate_3x,cost_sample_3x,cost_rate_5x,cost_sample_5x,cost_rate_10x,cost_sample_10x,cost_rate_20x,cost_sample_20x
223.5,4029,5695,0,76,0.4143356643356643,1.0,0.5859085290482077,0.9868307052503899,0.0,4856,790,49,0,0,0,0.9868307052503899,0.5811224489795919,0.9868307052503899,0.5811224489795919,0.9868307052503899,0.5811224489795919,0.9868307052503899,0.5811224489795919,0.9868307052503899,0.5811224489795919,0.9868307052503899,0.5811224489795919
224.0,4029,5691,0,80,0.4145061728395062,1.0,0.5860789875627319,0.9861375844740946,0.0,4856,787,48,0,0,0,0.9861375844740946,0.5807142857142857,0.9861375844740946,0.5807142857142857,0.9861375844740946,0.5807142857142857,0.9861375844740946,0.5807142857142857,0.9861375844740946,0.5807142857142857,0.9861375844740946,0.5807142857142857
224.5,4029,5688,0,83,0.4146341463414634,1.0,0.5862068965517241,0.9856177438918732,0.0,4856,785,47,0,0,0,0.9856177438918732,0.5804081632653061,0.9856177438918732,0.5804081632653061,0.9856177438918732,0.5804081632653061,0.9856177438918732,0.5804081632653061,0.9856177438918732,0.5804081632653061,0.9856177438918732,0.5804081632653061
225.0,4029,5687,0,84,0.4146768217373405,1.0,0.5862495452891962,0.9854444636977994,0.0,4856,784,47,0,0,0,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796
225.5,4029,5687,0,84,0.4146768217373405,1.0,0.5862495452891962,0.9854444636977994,0.0,4856,784,47,0,0,0,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796,0.9854444636977994,0.5803061224489796
226.0,4029,5685,0,86,0.4147621988882026,1.0,0.5863348613839773,0.9850979033096517,0.0,4855,783,47,0,0,0,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265
226.5,4029,5685,0,86,0.4147621988882026,1.0,0.5863348613839773,0.9850979033096517,0.0,4855,783,47,0,0,0,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265
227.0,4029,5685,0,86,0.4147621988882026,1.0,0.5863348613839773,0.9850979033096517,0.0,4855,783,47,0,0,0,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265,0.9850979033096517,0.5801020408163265
227.5,4029,5683,0,88,0.4148476112026359,1.0,0.586420202314242,0.9847513429215041,0.0,4855,782,46,0,0,0,0.9847513429215041,0.5798979591836735,0.9847513429215041,0.5798979591836735,0.9847513429215041,0.5798979591836735,0.9847513429215041,0.5798979591836735,0.9847513429215041,0.5798979591836735,0.9847513429215041,0.5798979591836735
228.0,4029,5682,0,89,0.41489033055298113,1.0,0.5864628820960698,0.9845780627274302,0.0,4854,782,46,0,0,0,0.9845780627274302,0.5797959183673469,0.9845780627274302,0.5797959183673469,0.9845780627274302,0.5797959183673469,0.9845780627274302,0.5797959183673469,0.9845780627274302,0.5797959183673469,0.9845780627274302,0.5797959183673469
228.5,4029,5679,0,92,0.41501854140914707,1.0,0.5865909587246123,0.9840582221452088,0.0,4854,779,46,0,0,0,0.9840582221452088,0.5794897959183674,0.9840582221452088,0.5794897959183674,0.9840582221452088,0.5794897959183674,0.9840582221452088,0.5794897959183674,0.9840582221452088,0.5794897959183674,0.9840582221452088,0.5794897959183674
229.0,4029,5676,0,95,0.4151468315301391,1.0,0.5867190913062473,0.9835383815629873,0.0,4854,777,45,0,0,0,0.9835383815629873,0.5791836734693877,0.9835383815629873,0.5791836734693877,0.9835383815629873,0.5791836734693877,0.9835383815629873,0.5791836734693877,0.9835383815629873,0.5791836734693877,0.9835383815629873,0.5791836734693877
229.5,4029,5674,0,97,0.4152324023497887,1.0,0.5868045441304981,0.9831918211748397,0.0,4852,777,45,0,0,0,0.9831918211748397,0.5789795918367346,0.9831918211748397,0.5789795918367346,0.9831918211748397,0.5789795918367346,0.9831918211748397,0.5789795918367346,0.9831918211748397,0.5789795918367346,0.9831918211748397,0.5789795918367346
230.0,4029,5673,0,98,0.4152752009894867,1.0,0.5868472798776492,0.9830185409807659,0.0,4851,777,45,0,0,0,0.9830185409807659,0.5788775510204082,0.9830185409807659,0.5788775510204082,0.9830185409807659,0.5788775510204082,0.9830185409807659,0.5788775510204082,0.9830185409807659,0.5788775510204082,0.9830185409807659,0.5788775510204082
230.5,4029,5672,0,99,0.4153180084527368,1.0,0.5868900218499635,0.9828452607866921,0.0,4851,776,45,0,0,0,0.9828452607866921,0.5787755102040816,0.9828452607866921,0.5787755102040816,0.9828452607866921,0.5787755102040816,0.9828452607866921,0.5787755102040816,0.9828452607866921,0.5787755102040816,0.9828452607866921,0.5787755102040816
231.0,4029,5669,0,102,0.41544648381109506,1.0,0.5870182851314927,0.9823254202044707,0.0,4849,775,45,0,0,0,0.9823254202044707,0.578469387755102,0.9823254202044707,0.578469387755102,0.9823254202044707,0.578469387755102,0.9823254202044707,0.578469387755102,0.9823254202044707,0.578469387755102,0.9823254202044707,0.578469387755102
231.5,4029,5667,0,104,0.4155321782178218,1.0,0.587103825136612,0.981978859816323,0.0,4848,774,45,0,0,0,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449
232.0,4029,5667,0,104,0.4155321782178218,1.0,0.587103825136612,0.981978859816323,0.0,4848,774,45,0,0,0,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449,0.981978859816323,0.578265306122449
232.5,4029,5664,0,107,0.4156607861343237,1.0,0.5872321818976826,0.9814590192341015,0.0,4847,772,45,0,0,0,0.9814590192341015,0.5779591836734694,0.9814590192341015,0.5779591836734694,0.9814590192341015,0.5779591836734694,0.9814590192341015,0.5779591836734694,0.9814590192341015,0.5779591836734694,0.9814590192341015,0.5779591836734694
233.0,4029,5662,0,109,0.41574656898152923,1.0,0.5873177842565598,0.9811124588459539,0.0,4846,771,45,0,0,0,0.9811124588459539,0.5777551020408164,0.9811124588459539,0.5777551020408164,0.9811124588459539,0.5777551020408164,0.9811124588459539,0.5777551020408164,0.9811124588459539,0.5777551020408164,0.9811124588459539,0.5777551020408164
233.5,4029,5661,0,110,0.41578947368421054,1.0,0.587360594795539,0.9809391786518801,0.0,4846,770,45,0,0,0,0.9809391786518801,0.5776530612244898,0.9809391786518801,0.5776530612244898,0.9809391786518801,0.5776530612244898,0.9809391786518801,0.5776530612244898,0.9809391786518801,0.5776530612244898,0.9809391786518801,0.5776530612244898
234.0,4029,5660,0,111,0.41583238724326554,1.0,0.5874034115760315,0.9807658984578063,0.0,4846,769,45,0,0,0,0.9807658984578063,0.5775510204081633,0.9807658984578063,0.5775510204081633,0.9807658984578063,0.5775510204081633,0.9807658984578063,0.5775510204081633,0.9807658984578063,0.5775510204081633,0.9807658984578063,0.5775510204081633
234.5,4029,5659,0,112,0.4158753096614368,1.0,0.5874462345994023,0.9805926182637325,0.0,4846,768,45,0,0,0,0.9805926182637325,0.5774489795918367,0.9805926182637325,0.5774489795918367,0.9805926182637325,0.5774489795918367,0.9805926182637325,0.5774489795918367,0.9805926182637325,0.5774489795918367,0.9805926182637325,0.5774489795918367
