file_key,station_folder,data_type,filename,extension,file_size_bytes,n_sheets,n_rows,n_cols,read_error
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_May_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_May_delhi_2025.xlsx",.xlsx,8651,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_November_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_November_delhi_2025.xlsx",.xlsx,8578,1,30,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_October_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_October_delhi_2025.xlsx",.xlsx,8627,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_September_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_September_delhi_2025.xlsx",.xlsx,8077,1,30,25,
"ITO, Delhi - CPCB/Raw Data/2024_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv","ITO, Delhi - CPCB",Raw Data,"2024_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv",.csv,787219,1,8784,25,
"ITO, Delhi - CPCB/Raw Data/2025_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv","ITO, Delhi - CPCB",Raw Data,"2025_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv",.csv,1050084,1,8760,25,
"ITO, Delhi - CPCB/Raw Data/2026_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv","ITO, Delhi - CPCB",Raw Data,"2026_raw_data_hourly_ito,_delhi_-_cpcb_1H.csv",.csv,606143,1,5088,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_April_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",.xlsx,8734,1,30,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_August_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",.xlsx,8661,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",.xlsx,8678,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_February_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",.xlsx,8441,1,28,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",.xlsx,8692,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_July_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",.xlsx,8664,1,31,25,
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_June_delhi_2025.xlsx","Jahangirpuri, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",.xlsx,8622,1,30,25,
