file_key,sheet,station_folder,col_name,n_total,n_missing,pct_missing,completely_empty
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",21:00:00,28,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",22:00:00,28,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",23:00:00,28,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",Date,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",00:00:00,31,3,9.68,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",01:00:00,31,3,9.68,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",02:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",03:00:00,31,4,12.9,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",04:00:00,31,5,16.13,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",05:00:00,31,5,16.13,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",06:00:00,31,5,16.13,False
